"filename", "language", "YAML", "Dart", "C++", "Swift", "Properties", "XML", "Groovy", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\home_screen\home_screen_ui.dart", "Dart", 0, 423, 0, 0, 0, 0, 0, 0, 0, 0, 11, 434
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\introduction_screen\introduction_screen.dart", "Dart", 0, 135, 0, 0, 0, 0, 0, 0, 0, 2, 19, 156
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\introduction_screen\introduction_screen_ui.dart", "Dart", 0, 132, 0, 0, 0, 0, 0, 0, 0, 3, 6, 141
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\multiplayer_end_screen\multiplayer_end_screen.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\multiplayer_end_screen\multiplayer_end_screen_ui.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\multiplayer_game_screen\multiplayer_game_screen.dart", "Dart", 0, 592, 0, 0, 0, 0, 0, 0, 0, 15, 73, 680
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\multiplayer_game_screen\multiplayer_game_screen_ui.dart", "Dart", 0, 721, 0, 0, 0, 0, 0, 0, 0, 4, 11, 736
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\multiplayer_lobby_screen\multiplayer_lobby_screen.dart", "Dart", 0, 618, 0, 0, 0, 0, 0, 0, 0, 23, 61, 702
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\multiplayer_lobby_screen\multiplayer_lobby_screen_ui.dart", "Dart", 0, 660, 0, 0, 0, 0, 0, 0, 0, 1, 10, 671
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\settings_screen\settings_screen.dart", "Dart", 0, 451, 0, 0, 0, 0, 0, 0, 0, 15, 55, 521
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\settings_screen\settings_screen_ui.dart", "Dart", 0, 910, 0, 0, 0, 0, 0, 0, 0, 4, 14, 928
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\single_player_game_screen\single_player_game_screen.dart", "Dart", 0, 390, 0, 0, 0, 0, 0, 0, 0, 23, 48, 461
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\single_player_game_screen\single_player_game_screen_ui.dart", "Dart", 0, 227, 0, 0, 0, 0, 0, 0, 0, 15, 9, 251
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\splash_screen\splash_screen.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 9, 60
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\screens\splash_screen\splash_screen_ui.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\lib\src\wrapper\wrapper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\pubspec.yaml", "YAML", 42, 0, 0, 0, 0, 0, 0, 0, 0, 47, 9, 98
"c:\Users\sedem\AndroidStudioProjects\Sudoku-with-AISA\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 42, 8683, 1, 12, 9, 119, 88, 145, 13, 439, 836, 10387
